area,bedrooms,bathrooms,floors,parking,location,yearBuilt,price
1960,1,1,4,Yes,Delhi,2024,19130000
4136,5,5,2,Yes,Hyderabad,2015,28921000
3224,3,2,1,Yes,Bangalore,2022,25079000
4678,5,5,7,Yes,Bangalore,2007,34924000
2548,2,1,11,Yes,Delhi,1995,18292000
4646,5,4,11,No,Pune,1995,24482000
1216,1,1,15,Yes,Bangalore,2009,9615000
2323,2,2,12,Yes,Bangalore,1995,16512000
2581,2,1,8,No,Hyderabad,2000,16198000
3919,5,4,6,Yes,Bangalore,2019,33820000
2074,1,1,4,Yes,Mumbai,2020,27414000
749,1,1,14,Yes,Hyderabad,2007,5775000
1173,1,1,6,Yes,Mumbai,2021,18013000
2665,3,2,3,Yes,Pune,2022,19456000
1270,1,1,12,Yes,Mumbai,1995,13513000
4462,5,4,8,No,Hyderabad,1999,25425000
2484,4,4,10,Yes,Hyderabad,2003,15480000
1577,3,3,14,Yes,Mumbai,2024,22803000
735,1,1,13,Yes,Bangalore,2019,7197000
888,2,2,13,Yes,Bangalore,2011,7983000
3537,5,4,2,Yes,Mumbai,2010,43754000
2348,2,2,5,Yes,Mumbai,2002,28851000
3314,5,4,1,Yes,Delhi,2011,30413000
3874,4,4,6,No,Bangalore,2009,28089000
3778,5,4,2,No,Pune,2018,25882000
1752,1,1,4,No,Bangalore,1995,11878000
4481,5,5,6,Yes,Hyderabad,2006,30024000
2622,2,2,10,Yes,Mumbai,1999,29356000
2650,2,2,11,Yes,Mumbai,2018,35998000
1829,3,3,8,Yes,Chennai,2000,9435000
1858,1,1,12,Yes,Delhi,2019,18471000
2982,3,3,8,Yes,Chennai,1995,14332000
2517,2,1,11,Yes,Chennai,2019,15099000
1831,3,3,6,Yes,Mumbai,1995,19959000
4761,5,4,4,Yes,Mumbai,2004,61069000
1858,1,1,8,No,Mumbai,2004,21462000
3677,4,3,13,Yes,Chennai,1997,19503000
2628,4,3,8,Yes,Delhi,2011,23892000
2680,4,4,10,Yes,Hyderabad,2013,18856000
637,1,1,14,Yes,Delhi,2022,6866000
3972,4,3,1,No,Hyderabad,2005,24477000
3332,3,3,4,Yes,Bangalore,2023,29312000
4079,5,5,4,Yes,Hyderabad,2012,29126000
3531,5,4,7,Yes,Delhi,1996,26952000
4664,5,5,14,No,Pune,2003,26401000
3093,5,5,14,Yes,Bangalore,2018,26504000
4318,5,5,11,No,Hyderabad,2011,28222000
4638,5,4,7,Yes,Bangalore,2022,38599000
4323,5,5,13,Yes,Delhi,2008,39231000
4542,5,4,11,Yes,Bangalore,1998,31422000
2406,4,4,15,No,Bangalore,2023,21833000
1260,2,2,8,Yes,Hyderabad,2011,9081000
3945,5,5,11,Yes,Mumbai,2011,50541000
1399,1,1,5,Yes,Bangalore,2006,10973000
3447,3,2,7,Yes,Delhi,2022,32733000
2219,3,3,8,Yes,Hyderabad,2014,16332000
780,1,1,15,No,Delhi,2012,7920000
3766,5,5,9,Yes,Hyderabad,1997,22266000
2387,3,2,3,Yes,Mumbai,2005,28606000
3766,5,4,3,Yes,Bangalore,2019,33356000
1166,1,1,4,Yes,Delhi,2012,11310000
4688,5,5,5,Yes,Chennai,1998,22734000
1171,1,1,10,Yes,Chennai,2011,6730000
2469,2,2,1,Yes,Mumbai,2012,31804000
4656,5,4,15,Yes,Mumbai,1999,53172000
3622,5,4,15,Yes,Pune,2008,23287000
4400,5,4,7,Yes,Delhi,2004,37387000
1023,2,2,9,Yes,Hyderabad,2009,7710000
2893,3,3,8,No,Pune,1995,15996000
3617,5,4,15,No,Bangalore,2010,28259000
3093,4,4,15,No,Hyderabad,2005,20632000
2468,2,1,5,No,Bangalore,2017,19298000
2253,2,1,14,Yes,Bangalore,2014,18718000
2796,2,1,14,No,Mumbai,2000,30115000
2761,3,2,4,Yes,Hyderabad,2018,19225000
2786,4,3,12,Yes,Hyderabad,2023,23388000
4702,5,5,7,Yes,Hyderabad,2016,31244000
3378,5,5,5,Yes,Mumbai,2010,43215000
4643,5,5,7,No,Delhi,2024,47309000
4144,5,4,12,No,Bangalore,1996,31176000
2555,2,1,1,Yes,Hyderabad,1995,14742000
1776,3,2,1,No,Hyderabad,2018,13167000
3266,4,3,10,Yes,Chennai,2018,20518000
802,1,1,14,Yes,Mumbai,2003,10689000
1138,1,1,13,Yes,Mumbai,2016,16127000
555,1,1,3,Yes,Hyderabad,2006,4018000
1025,2,1,14,No,Delhi,2011,10091000
4623,5,4,11,No,Mumbai,2024,64837000
2625,4,4,2,No,Hyderabad,2019,18291000
3787,5,5,2,Yes,Hyderabad,2022,27048000
864,2,2,7,No,Bangalore,2023,8214000
2146,2,1,12,Yes,Pune,2009,13412000
1418,2,1,10,No,Pune,2024,10520000
3297,5,5,2,Yes,Mumbai,2013,44789000
2031,1,1,11,Yes,Delhi,2021,19757000
3845,4,4,4,Yes,Hyderabad,2016,28634000
2406,4,3,2,Yes,Mumbai,2004,29394000
3586,5,5,6,Yes,Delhi,2023,34069000
2575,3,2,8,Yes,Hyderabad,2020,18177000
1213,1,1,10,Yes,Pune,2021,9147000
1562,2,2,4,Yes,Hyderabad,2006,9646000
2476,3,3,15,Yes,Bangalore,2008,19773000
1796,2,2,5,Yes,Mumbai,2003,24252000
625,1,1,4,Yes,Mumbai,2021,9473000
4096,5,5,3,Yes,Delhi,2007,34925000
3783,5,4,5,Yes,Hyderabad,1997,21314000
2103,2,1,14,No,Pune,2015,14477000
566,1,1,9,No,Mumbai,2023,8918000
732,2,2,8,Yes,Mumbai,2008,10358000
2656,3,3,8,No,Chennai,2015,16002000
1669,2,1,8,No,Delhi,2004,14207000
2658,4,4,12,No,Hyderabad,2010,18496000
4706,5,5,8,Yes,Delhi,2001,36541000
1993,1,1,7,Yes,Hyderabad,1998,12415000
4507,5,5,8,Yes,Hyderabad,2021,33791000
2972,5,5,11,Yes,Bangalore,2014,26027000
3160,4,3,14,Yes,Chennai,2017,19772000
3239,3,2,8,Yes,Hyderabad,2019,24133000
2261,2,1,13,No,Delhi,2005,18858000
4014,5,4,14,No,Hyderabad,2010,27306000
2475,2,1,8,Yes,Delhi,2014,22503000
2862,4,4,12,Yes,Mumbai,1998,36988000
1376,1,1,10,Yes,Delhi,2016,13533000
4312,5,5,7,No,Hyderabad,2016,33984000
3948,5,5,12,Yes,Delhi,2017,37559000
1812,3,2,1,Yes,Chennai,2011,10753000
1960,3,2,4,Yes,Delhi,2007,16426000
3209,4,3,13,Yes,Mumbai,2005,41909000
2824,4,4,13,Yes,Chennai,2024,18525000
2233,4,3,4,Yes,Hyderabad,1997,14930000
2105,2,2,5,No,Delhi,2003,16484000
3063,4,3,10,No,Pune,2000,17919000
3921,4,3,6,No,Hyderabad,2016,25853000
4017,4,4,4,No,Mumbai,2015,52067000
2897,4,4,15,Yes,Hyderabad,2005,19593000
4235,5,4,2,Yes,Mumbai,2010,52508000
3370,3,2,6,Yes,Mumbai,2013,43500000
1660,1,1,15,No,Bangalore,2021,14439000
742,2,1,8,Yes,Mumbai,1999,9500000
3090,5,4,15,Yes,Bangalore,2008,22897000
1563,2,2,8,Yes,Bangalore,2011,12744000
3095,5,4,7,Yes,Hyderabad,1997,20070000
1419,3,3,6,Yes,Pune,1998,8810000
505,1,1,2,Yes,Hyderabad,2010,4120000
967,2,2,15,Yes,Pune,2010,7274000
4670,5,4,7,Yes,Mumbai,2015,59311000
503,1,1,11,No,Bangalore,2020,5028000
1145,2,1,12,Yes,Delhi,2019,11741000
617,1,1,14,Yes,Mumbai,1998,8445000
3428,3,2,14,Yes,Mumbai,2013,46249000
3051,3,2,5,No,Hyderabad,2020,22624000
4789,5,4,6,Yes,Bangalore,2011,39094000
1346,2,1,10,No,Hyderabad,2007,9305000
3262,4,3,8,Yes,Hyderabad,2020,24895000
1641,3,2,14,No,Bangalore,2016,14216000
2310,4,3,8,No,Hyderabad,2017,17528000
1223,1,1,3,Yes,Bangalore,2020,11161000
724,1,1,12,Yes,Hyderabad,2018,6316000
4708,5,5,12,Yes,Hyderabad,2022,37038000
2548,4,4,14,Yes,Hyderabad,1995,16725000
2073,1,1,7,Yes,Chennai,2006,11848000
2328,2,2,1,Yes,Hyderabad,1998,14328000
2417,4,3,1,Yes,Mumbai,2005,28398000
4734,5,4,7,Yes,Hyderabad,1999,27446000
2526,3,3,15,Yes,Chennai,1996,13090000
4244,5,4,15,Yes,Hyderabad,2011,29515000
1401,1,1,10,Yes,Chennai,2002,8179000
2539,4,4,9,Yes,Mumbai,2000,26733000
509,1,1,7,Yes,Hyderabad,2015,4131000
760,2,1,10,Yes,Pune,2023,6169000
2173,3,3,5,No,Mumbai,2003,25002000
2719,3,3,8,Yes,Bangalore,2007,20582000
2560,4,3,2,Yes,Delhi,2005,21437000
4213,5,5,9,Yes,Chennai,2023,26424000
2119,3,3,6,No,Mumbai,2010,26362000
820,1,1,13,No,Bangalore,2010,7283000
1842,2,2,9,No,Delhi,2021,18412000
2876,5,5,2,Yes,Delhi,1996,23420000
3332,5,4,3,Yes,Pune,2004,19830000
3324,5,4,12,Yes,Delhi,2006,30045000
2494,3,2,8,Yes,Hyderabad,2002,16488000
3458,3,3,1,No,Chennai,2005,18809000
2538,2,1,15,Yes,Hyderabad,2024,19073000
3990,4,3,10,Yes,Bangalore,2004,29305000
4177,5,5,15,Yes,Mumbai,2007,54428000
1618,2,1,15,No,Mumbai,2019,22125000
2104,3,2,15,Yes,Hyderabad,2011,14363000
4527,5,4,7,Yes,Delhi,2001,35703000
735,1,1,7,Yes,Bangalore,2018,7266000
2469,2,2,13,Yes,Bangalore,1997,17073000
2408,3,2,1,Yes,Pune,2024,17099000
875,1,1,9,No,Bangalore,2014,7254000
4030,4,4,8,Yes,Hyderabad,2007,27446000
3135,4,3,4,Yes,Hyderabad,2013,22535000
2070,1,1,10,Yes,Chennai,2001,10231000
3060,3,3,11,Yes,Hyderabad,2003,19886000
3891,5,5,5,No,Bangalore,2013,29603000
3465,5,4,2,No,Mumbai,2007,41925000
4143,5,5,13,Yes,Mumbai,2016,56115000
4350,5,5,9,No,Hyderabad,2002,29354000
1372,1,1,15,Yes,Mumbai,2016,19182000
1752,3,2,12,Yes,Bangalore,2012,14488000
1814,1,1,12,Yes,Chennai,2023,11702000
3398,4,3,6,Yes,Hyderabad,2017,25593000
577,1,1,3,Yes,Bangalore,1996,4278000
3121,3,2,12,Yes,Bangalore,2012,26389000
4727,5,4,7,Yes,Bangalore,2012,37193000
1100,1,1,9,Yes,Delhi,2005,9290000
1565,3,3,3,Yes,Hyderabad,1995,9605000
2636,3,3,2,Yes,Hyderabad,2008,16573000
2949,3,3,7,No,Delhi,2010,23557000
2843,4,4,7,Yes,Mumbai,2005,34955000
2363,2,1,4,Yes,Bangalore,1995,15956000
1818,2,2,11,No,Hyderabad,2024,14305000
4097,5,5,9,Yes,Hyderabad,2001,25796000
4262,5,5,14,Yes,Hyderabad,2023,36005000
2690,3,3,8,Yes,Hyderabad,2010,18723000
1492,2,1,13,Yes,Mumbai,2024,20863000
3212,4,3,13,Yes,Pune,2008,19042000
2692,2,1,1,Yes,Bangalore,2009,20695000
1748,1,1,1,No,Bangalore,2008,12892000
3554,4,3,5,No,Hyderabad,2022,25154000
4533,5,5,6,No,Bangalore,2015,37232000
2497,4,3,3,Yes,Hyderabad,2005,16601000
4187,4,3,13,Yes,Chennai,2010,25540000
2651,3,2,9,Yes,Delhi,2013,23309000
4518,5,4,12,Yes,Chennai,2011,25879000
3610,4,3,10,No,Pune,2021,25942000
2470,3,3,14,Yes,Mumbai,2020,35475000
697,1,1,15,Yes,Mumbai,2000,8496000
3126,4,4,6,Yes,Hyderabad,2005,20058000
1702,2,2,4,No,Mumbai,2011,20804000
2535,3,3,12,No,Chennai,2003,13899000
977,1,1,7,Yes,Hyderabad,2012,7484000
1754,3,3,8,No,Pune,2011,12197000
1422,3,2,9,Yes,Bangalore,2006,10987000
919,2,1,13,Yes,Pune,2017,7225000
2704,2,1,11,No,Chennai,2016,16061000
3097,5,4,6,Yes,Delhi,2016,29115000
1620,2,2,15,No,Delhi,2024,16304000
3568,5,4,6,Yes,Mumbai,1999,38006000
1450,2,1,8,Yes,Pune,2005,9194000
2836,3,3,12,No,Chennai,1998,13809000
2743,3,3,5,Yes,Delhi,2021,25981000
3145,4,3,14,No,Mumbai,1998,36395000
2357,3,2,3,No,Mumbai,1997,24377000
2365,2,2,12,Yes,Pune,2020,15385000
3412,5,4,3,Yes,Mumbai,2018,49286000
3353,5,4,13,Yes,Pune,2017,22972000
3728,4,3,6,Yes,Mumbai,2019,49922000
4219,5,4,2,Yes,Hyderabad,2011,28989000
3728,5,5,6,Yes,Bangalore,2001,28280000
2871,3,3,13,Yes,Bangalore,2020,26426000
3391,5,5,6,Yes,Hyderabad,1998,20135000
4256,5,4,8,No,Hyderabad,2017,29309000
4725,5,4,7,No,Mumbai,2007,59415000
594,1,1,8,Yes,Hyderabad,2006,4632000
3174,3,2,14,Yes,Bangalore,1995,20635000
2455,4,3,9,No,Delhi,2015,22094000
1293,2,2,6,Yes,Chennai,2013,8186000
2334,4,3,14,Yes,Delhi,2015,22477000
2616,4,3,3,No,Chennai,2014,15722000
4606,5,5,10,Yes,Delhi,2012,39179000
3825,5,4,3,Yes,Bangalore,2005,29129000
3419,3,3,11,No,Delhi,2014,30039000
3097,3,3,12,No,Delhi,1997,22838000
3705,4,4,1,Yes,Bangalore,2023,32782000
1314,1,1,11,Yes,Hyderabad,2011,9357000
845,2,2,15,Yes,Delhi,2006,8528000
2849,5,4,13,Yes,Hyderabad,2004,18580000
862,2,2,15,No,Mumbai,2002,11033000
2943,4,4,5,Yes,Hyderabad,2009,18997000
2765,4,3,14,No,Mumbai,1999,31643000
2688,3,2,4,Yes,Mumbai,1998,31024000
3505,5,5,9,Yes,Hyderabad,2020,27334000
3781,5,4,15,Yes,Bangalore,2022,34690000
1484,1,1,9,Yes,Mumbai,2015,20630000
2139,3,3,15,Yes,Pune,2014,14333000
1327,1,1,14,Yes,Pune,2013,9106000
3230,3,2,5,Yes,Mumbai,2015,45950000
4031,4,4,10,Yes,Delhi,1998,31042000
3435,4,4,4,Yes,Bangalore,2009,28652000
4376,5,4,7,No,Bangalore,2011,35929000
626,1,1,15,Yes,Hyderabad,2006,4893000
3677,4,4,6,Yes,Mumbai,1997,41007000
3556,5,5,4,No,Bangalore,2004,26937000
1103,1,1,13,No,Hyderabad,2009,7934000
3949,5,5,13,Yes,Delhi,2004,33939000
4646,5,4,15,Yes,Delhi,2018,43208000
4033,5,4,10,No,Bangalore,2017,31179000
3867,4,4,2,No,Hyderabad,2012,27030000
3868,5,4,1,No,Bangalore,1995,24208000
4297,5,5,4,Yes,Bangalore,1997,28449000
2292,4,4,4,Yes,Delhi,2015,21539000
3361,3,3,13,Yes,Bangalore,2020,27833000
3976,5,5,1,Yes,Delhi,2021,39191000
3917,4,4,6,Yes,Pune,2006,23051000
2145,4,3,4,No,Hyderabad,1995,13297000
1705,2,1,1,Yes,Chennai,1997,8120000
3530,5,5,1,Yes,Bangalore,1997,24333000
3372,4,3,15,Yes,Bangalore,1999,24427000
3572,5,5,13,Yes,Bangalore,2013,29961000
2354,4,3,1,Yes,Hyderabad,2023,18937000
4521,5,5,8,No,Hyderabad,2019,31851000
3208,3,2,10,Yes,Bangalore,1995,21494000
4002,4,4,8,Yes,Delhi,1998,31994000
1832,1,1,2,No,Chennai,2023,10239000
701,1,1,11,Yes,Delhi,2023,7809000
4007,5,4,13,Yes,Hyderabad,2020,31091000
4712,5,5,7,No,Delhi,2020,42532000
1074,1,1,14,Yes,Mumbai,1998,12548000
1036,1,1,8,Yes,Pune,2011,7306000
2125,3,2,8,No,Pune,2008,13392000
2622,4,3,11,Yes,Pune,2012,17511000
885,2,2,10,Yes,Bangalore,2021,9115000
3781,5,4,15,Yes,Delhi,1995,31316000
974,2,1,11,No,Bangalore,2016,8653000
917,1,1,13,Yes,Chennai,2010,5835000
4100,4,3,7,Yes,Hyderabad,1997,25300000
1454,2,2,5,Yes,Hyderabad,2017,10941000
1705,1,1,1,Yes,Hyderabad,2015,11500000
4620,5,5,12,No,Delhi,2003,37140000
2490,3,3,9,Yes,Bangalore,2017,21766000
4072,4,4,13,Yes,Bangalore,1998,28350000
4658,5,4,7,Yes,Chennai,2015,27442000
3213,3,3,2,Yes,Chennai,1999,15786000
2703,2,2,6,Yes,Bangalore,2005,21489000
3620,5,4,2,No,Hyderabad,2015,25289000
1466,2,1,15,Yes,Pune,2020,10321000
3932,5,4,1,No,Chennai,2003,20386000
1188,1,1,14,No,Mumbai,2020,17315000
4743,5,5,7,Yes,Mumbai,1997,54350000
4201,5,5,13,Yes,Bangalore,2000,30057000
841,2,1,2,No,Pune,2018,5836000
2224,3,3,13,Yes,Mumbai,2005,28009000
2292,3,2,14,No,Mumbai,2003,26771000
2259,3,3,14,Yes,Hyderabad,2023,16911000
3712,5,4,2,Yes,Chennai,2009,21756000
1489,2,2,13,Yes,Mumbai,2017,20407000
2762,2,2,11,Yes,Hyderabad,2022,21214000
2982,3,3,5,No,Mumbai,1997,33633000
1451,2,1,14,Yes,Delhi,1995,11587000
1222,1,1,5,Yes,Mumbai,2014,16073000
3889,4,4,7,No,Delhi,2023,37047000
2579,4,4,1,Yes,Mumbai,2016,33558000
3217,4,4,8,Yes,Chennai,2013,18958000
2832,4,3,3,No,Hyderabad,2008,19305000
3876,5,5,4,Yes,Hyderabad,2011,28403000
2000,1,1,15,Yes,Hyderabad,2016,15244000
785,1,1,9,Yes,Delhi,2008,7402000
3995,5,5,4,Yes,Mumbai,2011,54441000
2565,2,1,10,Yes,Pune,2019,16879000
1268,2,1,12,Yes,Delhi,2021,12342000
3557,5,5,15,Yes,Mumbai,2008,48760000
4789,5,5,5,Yes,Chennai,2006,26967000
2661,4,3,7,Yes,Bangalore,2010,20289000
3793,5,4,4,Yes,Pune,1995,21678000
1446,2,2,14,Yes,Bangalore,2007,11569000
3835,5,4,1,No,Mumbai,2000,43186000
4650,5,4,9,Yes,Delhi,2011,42917000
1981,3,3,4,Yes,Mumbai,2006,26160000
2401,2,1,9,Yes,Hyderabad,2017,16639000
3951,5,4,6,Yes,Bangalore,2013,34290000
4564,5,5,15,Yes,Mumbai,2000,54916000
554,1,1,1,Yes,Pune,2001,3424000
2323,2,1,12,Yes,Bangalore,1995,15827000
3962,4,4,3,Yes,Chennai,1995,20707000
3579,5,4,11,No,Bangalore,2023,30043000
1332,1,1,2,Yes,Mumbai,1999,16139000
3306,4,3,9,Yes,Delhi,2000,27559000
2990,3,3,15,No,Mumbai,2010,38927000
827,2,1,12,Yes,Chennai,2019,6142000
3810,5,4,1,Yes,Delhi,2010,36269000
3800,5,4,13,Yes,Mumbai,2008,52034000
4175,4,4,14,Yes,Hyderabad,1995,23978000
3554,4,4,9,Yes,Bangalore,2007,28356000
2643,4,3,9,Yes,Bangalore,2014,24018000
1811,3,2,8,Yes,Delhi,2004,15152000
3691,4,4,8,Yes,Hyderabad,2018,27375000
3038,3,3,11,Yes,Hyderabad,2004,20530000
4483,5,5,14,No,Hyderabad,2003,26249000
664,1,1,12,Yes,Hyderabad,2007,5292000
4777,5,5,1,Yes,Bangalore,1997,31692000
1322,1,1,11,Yes,Pune,2021,9493000
1443,2,1,8,Yes,Delhi,2012,13984000
1274,1,1,10,No,Delhi,2014,10574000
2698,4,3,14,Yes,Delhi,1996,22012000
3656,5,5,3,Yes,Bangalore,2011,32070000
4742,5,5,11,Yes,Pune,2022,31985000
4195,5,4,7,Yes,Hyderabad,2013,30070000
3952,5,4,11,Yes,Bangalore,2017,35536000
1414,3,3,15,Yes,Mumbai,2007,17496000
1808,1,1,1,Yes,Hyderabad,2007,12090000
4677,5,4,1,Yes,Delhi,1995,36628000
1013,1,1,10,Yes,Bangalore,1996,7631000
2420,2,1,13,No,Delhi,1995,18254000
4094,5,5,5,Yes,Mumbai,2018,53927000
1909,2,1,5,Yes,Hyderabad,1999,12394000
3690,5,5,8,Yes,Delhi,2018,35500000
2055,1,1,7,Yes,Bangalore,1997,13715000
1304,2,2,8,Yes,Mumbai,2023,19065000
1779,2,2,6,No,Hyderabad,2022,13662000
4077,4,3,6,Yes,Mumbai,2001,44408000
3401,3,2,2,No,Delhi,2018,31378000
1887,2,2,6,Yes,Bangalore,2016,15822000
3261,4,4,5,Yes,Chennai,2007,19506000
3179,4,4,13,Yes,Pune,2023,20993000
2606,3,3,3,Yes,Delhi,2017,25532000
4723,5,4,6,Yes,Delhi,2024,49315000
3268,3,3,8,No,Bangalore,2022,26357000
4453,5,4,9,No,Delhi,2012,36912000
3686,4,4,1,No,Hyderabad,2018,28380000
3780,4,4,3,No,Hyderabad,2015,25540000
3073,4,4,3,Yes,Chennai,2001,18545000
3099,4,4,11,Yes,Mumbai,1995,32021000
4533,5,4,8,Yes,Bangalore,1999,32497000
736,1,1,1,Yes,Bangalore,2011,6221000
1804,2,1,5,Yes,Mumbai,2022,25425000
3930,5,5,3,Yes,Hyderabad,2023,30733000
1801,3,3,2,Yes,Hyderabad,2002,12114000
3041,3,2,15,Yes,Hyderabad,2009,20558000
2551,4,3,8,Yes,Mumbai,2014,32893000
941,1,1,3,Yes,Mumbai,1998,11379000
2576,4,4,7,Yes,Hyderabad,1996,16281000
3680,5,4,12,Yes,Delhi,1999,29740000
3157,5,5,11,Yes,Hyderabad,1995,19765000
4298,5,5,1,Yes,Delhi,2019,42202000
1304,2,1,6,Yes,Chennai,1999,6912000
574,1,1,3,Yes,Delhi,2000,5144000
2675,4,3,8,Yes,Pune,1996,14565000
4424,5,5,6,Yes,Chennai,2020,28773000
2589,4,3,12,Yes,Mumbai,2020,36480000
540,1,1,2,Yes,Delhi,1995,4615000
2581,3,2,6,Yes,Pune,1998,14089000
2122,4,3,7,Yes,Bangalore,2001,16595000
841,1,1,5,Yes,Bangalore,2016,7185000
4552,5,4,3,Yes,Chennai,2020,28365000
2574,4,4,4,No,Delhi,1995,20579000
1145,1,1,4,Yes,Hyderabad,1995,7035000
4763,5,4,6,No,Bangalore,2002,34763000
1109,1,1,10,Yes,Delhi,2014,11355000
954,1,1,1,Yes,Mumbai,2010,12868000
3453,5,5,11,Yes,Mumbai,2015,48370000
2208,2,2,4,Yes,Delhi,2007,19448000
3972,4,4,10,Yes,Mumbai,2017,55584000
3469,4,3,13,Yes,Mumbai,2018,50876000
3528,5,4,4,Yes,Delhi,2020,33696000
3181,3,2,10,Yes,Delhi,2017,30972000
4129,5,4,1,Yes,Mumbai,2012,54189000
4725,5,5,9,Yes,Bangalore,2024,41685000
3567,4,4,4,Yes,Bangalore,2014,29307000
1886,2,1,7,Yes,Chennai,2004,10495000
4276,5,5,12,Yes,Hyderabad,2006,27389000
3366,3,3,14,No,Bangalore,1995,23698000
3863,5,4,3,No,Mumbai,2004,46095000
4624,5,5,10,Yes,Pune,2003,26983000
648,1,1,12,Yes,Hyderabad,1997,4798000
4350,5,4,3,No,Bangalore,2022,38011000
2558,4,4,14,Yes,Hyderabad,2013,20030000
1636,1,1,8,Yes,Delhi,2020,15511000
686,1,1,8,No,Hyderabad,2003,4439000
3354,4,3,11,Yes,Bangalore,2004,25117000
1750,3,3,12,Yes,Bangalore,2013,13513000
1833,3,2,1,Yes,Pune,2010,12121000
4693,5,4,10,Yes,Bangalore,2018,38226000
4650,5,4,2,No,Hyderabad,2012,30771000
3211,5,5,8,Yes,Mumbai,2008,42066000
2285,3,2,1,Yes,Chennai,2023,14916000
1250,1,1,15,Yes,Mumbai,1997,14244000
2262,2,1,12,Yes,Chennai,1996,10529000
4420,5,5,8,Yes,Pune,1995,24960000
981,2,1,8,Yes,Hyderabad,2012,7687000
653,1,1,2,No,Delhi,2018,6801000
2024,3,3,4,Yes,Bangalore,2003,15137000
2620,4,4,6,Yes,Mumbai,2007,31140000
2843,4,3,12,Yes,Bangalore,1996,20969000
1740,2,1,11,Yes,Bangalore,2001,12910000
560,1,1,9,No,Chennai,2010,3710000
1438,2,2,15,Yes,Hyderabad,2015,11812000
2139,3,2,8,No,Pune,2013,13952000
4620,5,5,12,Yes,Hyderabad,2019,34443000
4726,5,4,15,Yes,Hyderabad,2009,32216000
4069,4,4,8,Yes,Pune,2016,24794000
1752,3,3,7,Yes,Mumbai,2005,22980000
4703,5,5,14,Yes,Delhi,1995,37582000
671,1,1,13,No,Hyderabad,2015,5384000
1958,3,2,9,Yes,Mumbai,2001,21968000
4049,5,4,15,No,Delhi,2014,36916000
4697,5,5,2,Yes,Mumbai,2002,58394000
2822,3,3,3,Yes,Mumbai,2004,33235000
2136,4,3,10,Yes,Chennai,1999,12404000
3615,4,3,8,Yes,Delhi,2003,29893000
4590,5,4,14,Yes,Chennai,2019,29535000
3504,4,4,6,Yes,Delhi,2019,33051000
829,1,1,10,Yes,Delhi,1995,6833000
4140,5,5,9,No,Hyderabad,1996,24991000
4394,5,5,10,Yes,Bangalore,2013,34501000
4607,5,5,4,No,Pune,2008,27913000
1841,3,2,8,No,Hyderabad,2014,11848000
4163,4,4,10,Yes,Hyderabad,2004,26090000
715,2,2,3,Yes,Bangalore,2003,6176000
838,1,1,3,Yes,Hyderabad,2004,5969000
4562,5,5,8,Yes,Chennai,2023,30025000
3208,3,3,5,Yes,Pune,2000,16973000
3652,5,4,3,No,Mumbai,2011,48767000
2250,2,2,10,Yes,Hyderabad,2022,16455000
2921,5,5,11,Yes,Delhi,2019,29683000
1209,1,1,1,Yes,Mumbai,2000,13433000
4226,5,4,15,Yes,Chennai,1998,21264000
4142,5,4,3,Yes,Mumbai,2024,57187000
4493,5,4,12,Yes,Bangalore,2014,37261000
988,1,1,9,Yes,Mumbai,1997,11409000
546,1,1,5,Yes,Chennai,2017,4030000
3859,5,5,12,Yes,Delhi,2013,35491000
900,2,2,10,Yes,Delhi,2012,8474000
4490,5,4,15,Yes,Hyderabad,2020,33926000
3657,5,5,2,Yes,Delhi,2018,32471000
890,2,2,7,Yes,Delhi,1998,7444000
4353,5,5,15,No,Bangalore,2002,31651000
1128,1,1,2,Yes,Mumbai,2011,14400000
4732,5,5,4,No,Bangalore,1999,31148000
3430,3,3,12,Yes,Bangalore,2007,27976000
2021,1,1,7,Yes,Hyderabad,2019,15708000
1326,1,1,4,No,Bangalore,1995,9723000
2000,2,2,7,Yes,Mumbai,2021,29610000
3794,5,4,7,No,Hyderabad,2007,24676000
2919,4,4,1,Yes,Bangalore,1998,20546000
1434,1,1,6,Yes,Pune,2016,9336000
3542,5,5,9,No,Mumbai,2020,53537000
1966,1,1,2,Yes,Mumbai,2018,26445000
4061,4,4,14,Yes,Bangalore,2008,33414000
1114,1,1,3,Yes,Delhi,1997,9239000
1682,2,1,10,No,Hyderabad,1999,10420000
3723,5,4,5,No,Pune,2001,19871000
3167,4,3,9,Yes,Hyderabad,1995,18769000
630,1,1,4,No,Delhi,2017,6137000
3483,3,3,1,Yes,Bangalore,2023,32095000
4778,5,5,4,Yes,Delhi,2006,40394000
538,1,1,6,Yes,Mumbai,2005,6771000
4459,5,5,5,Yes,Mumbai,2018,63367000
4087,4,3,14,Yes,Hyderabad,2002,25522000
1420,1,1,13,Yes,Mumbai,2019,17958000
3269,4,4,1,Yes,Chennai,2000,17429000
4611,5,5,4,Yes,Pune,2022,32220000
992,2,2,6,Yes,Hyderabad,2016,7638000
1631,2,1,13,Yes,Bangalore,1996,11624000
4021,5,5,15,Yes,Chennai,2013,25036000
810,1,1,10,No,Mumbai,2014,11148000
1238,1,1,10,No,Delhi,2014,10671000
3741,5,4,14,Yes,Chennai,2018,24894000
1045,1,1,4,No,Pune,2008,6751000
2961,3,2,15,Yes,Mumbai,1995,32055000
2304,4,3,14,Yes,Bangalore,2004,16769000
3712,5,4,9,No,Bangalore,2010,30456000
